Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_5001_C	5000	0.746268656716418	1.0	0.9285714285714286	0.65	105.0	0.8547008547008548	0.7647058823529412
CPC	Graph_100_5002_C	5000	0.6689655172413793	0.97	0.9538461538461539	0.62	138.0	0.7918367346938776	0.7515151515151515
CPC	Graph_100_5003_C	5000	0.7092198581560284	1.0	0.9841269841269841	0.62	120.0	0.8298755186721991	0.7607361963190183
CPC	Graph_100_5004_C	5000	0.7	0.98	0.9384615384615385	0.61	127.0	0.8166666666666667	0.7393939393939394
CPC	Graph_100_5005_C	5000	0.7615384615384615	0.99	0.9545454545454546	0.63	101.0	0.8608695652173913	0.7590361445783134
CPC	Graph_100_5006_C	5000	0.7092198581560284	1.0	0.9393939393939394	0.62	121.0	0.8298755186721991	0.7469879518072288
CPC	Graph_100_5007_C	5000	0.7407407407407407	1.0	0.9848484848484849	0.65	105.0	0.851063829787234	0.7831325301204819
CPC	Graph_100_5008_C	5000	0.7518796992481203	1.0	0.9846153846153847	0.64	102.0	0.8583690987124464	0.7757575757575756
CPC	Graph_100_5009_C	5000	0.7122302158273381	0.99	0.9154929577464789	0.65	118.0	0.8284518828451883	0.7602339181286549
CPC	Graph_100_5010_C	5000	0.7388059701492538	0.99	0.9552238805970149	0.64	107.0	0.8461538461538461	0.7664670658682635
CPC	Graph_100_5011_C	5000	0.7407407407407407	1.0	1.0	0.64	106.0	0.851063829787234	0.7804878048780487
CPC	Graph_100_5012_C	5000	0.6736111111111112	0.97	0.9076923076923077	0.59	140.0	0.7950819672131147	0.7151515151515151
CPC	Graph_100_5013_C	5000	0.7226277372262774	0.99	0.984375	0.63	114.0	0.8354430379746836	0.7682926829268293
CPC	Graph_100_5014_C	5000	0.7424242424242424	0.98	0.984375	0.63	107.0	0.8448275862068965	0.7682926829268293
CPC	Graph_100_5015_C	5000	0.6993006993006993	1.0	0.9696969696969697	0.64	122.0	0.823045267489712	0.7710843373493975
CPC	Graph_100_5016_C	5000	0.7480916030534351	0.98	0.9130434782608695	0.63	107.0	0.8484848484848484	0.7455621301775148
