Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_108_C	100	0.05	0.9191919191919192	0.6066666666666667	1.0	0.3	180.0	0.7309236947791165	0.4615384615384615
CPC	Graph_100_108_C	100	0.08	0.8584070796460177	0.6466666666666666	1.0	0.3333333333333333	185.0	0.7376425855513308	0.5
CPC	Graph_100_108_C	100	0.1	0.819672131147541	0.6666666666666666	0.9833333333333333	0.3933333333333333	185.0	0.7352941176470588	0.5619047619047619
CPC	Graph_100_109_C	100	1.0E-4	1.0	0.3466666666666667	1.0	0.02666666666666667	244.0	0.5148514851485149	0.05194805194805195
CPC	Graph_100_109_C	100	0.001	0.984375	0.42	0.9	0.06	231.0	0.5887850467289719	0.1125
CPC	Graph_100_109_C	100	0.01	0.9876543209876543	0.5333333333333333	0.9333333333333333	0.18666666666666668	196.0	0.6926406926406926	0.31111111111111106
CPC	Graph_100_109_C	100	0.03	0.9108910891089109	0.6133333333333333	0.9347826086956522	0.2866666666666667	185.0	0.7330677290836655	0.43877551020408156
CPC	Graph_100_109_C	100	0.05	0.9108910891089109	0.6133333333333333	0.8863636363636364	0.26	190.0	0.7330677290836655	0.40206185567010305
CPC	Graph_100_109_C	100	0.08	0.8596491228070176	0.6533333333333333	0.9090909090909091	0.3333333333333333	187.0	0.7424242424242424	0.4878048780487804
CPC	Graph_100_109_C	100	0.1	0.8319327731092437	0.66	0.8771929824561403	0.3333333333333333	195.0	0.7360594795539034	0.4830917874396135
CPC	Graph_100_110_C	100	1.0E-4	0.9850746268656716	0.44	1.0	0.09333333333333334	222.0	0.6082949308755761	0.17073170731707318
CPC	Graph_100_110_C	100	0.001	0.9871794871794872	0.5133333333333333	1.0	0.17333333333333334	199.0	0.6754385964912281	0.29545454545454547
CPC	Graph_100_110_C	100	0.01	0.967391304347826	0.5933333333333334	1.0	0.24666666666666667	180.0	0.7355371900826447	0.39572192513368987
CPC	Graph_100_110_C	100	0.03	0.9056603773584906	0.64	1.0	0.30666666666666664	178.0	0.7500000000000001	0.4693877551020408
CPC	Graph_100_110_C	100	0.05	0.8859649122807017	0.6733333333333333	0.9821428571428571	0.36666666666666664	170.0	0.7651515151515151	0.5339805825242718
CPC	Graph_100_110_C	100	0.08	0.860655737704918	0.7	0.9821428571428571	0.36666666666666664	174.0	0.7720588235294117	0.5339805825242718
CPC	Graph_100_110_C	100	0.1	0.856	0.7133333333333334	0.9491525423728814	0.37333333333333335	176.0	0.7781818181818182	0.5358851674641149
CPC	Graph_100_111_C	100	1.0E-4	0.9833333333333333	0.3933333333333333	1.0	0.013333333333333334	241.0	0.5619047619047619	0.02631578947368421
CPC	Graph_100_111_C	100	0.001	0.9861111111111112	0.47333333333333333	1.0	0.08666666666666667	218.0	0.6396396396396395	0.15950920245398773
CPC	Graph_100_111_C	100	0.01	0.9230769230769231	0.56	1.0	0.18	203.0	0.6970954356846474	0.3050847457627119
CPC	Graph_100_111_C	100	0.03	0.91	0.6066666666666667	1.0	0.28	185.0	0.7280000000000001	0.43750000000000006
CPC	Graph_100_111_C	100	0.05	0.8660714285714286	0.6466666666666666	1.0	0.3333333333333333	183.0	0.7404580152671755	0.5
CPC	Graph_100_111_C	100	0.08	0.8016528925619835	0.6466666666666666	0.9642857142857143	0.36	198.0	0.7158671586715867	0.5242718446601942
CPC	Graph_100_111_C	100	0.1	0.7709923664122137	0.6733333333333333	0.8955223880597015	0.4	203.0	0.7188612099644129	0.5529953917050692
CPC	Graph_100_112_C	100	1.0E-4	1.0	0.38666666666666666	1.0	0.04	236.0	0.5576923076923077	0.07692307692307693
CPC	Graph_100_112_C	100	0.001	1.0	0.48	1.0	0.09333333333333334	214.0	0.6486486486486487	0.17073170731707318
CPC	Graph_100_112_C	100	0.01	0.9772727272727273	0.5733333333333334	1.0	0.20666666666666667	187.0	0.722689075630252	0.3425414364640884
CPC	Graph_100_112_C	100	0.03	0.95	0.6333333333333333	1.0	0.3333333333333333	165.0	0.7599999999999999	0.5
CPC	Graph_100_112_C	100	0.05	0.9	0.66	1.0	0.36	169.0	0.7615384615384616	0.5294117647058824
CPC	Graph_100_112_C	100	0.08	0.8536585365853658	0.7	0.9827586206896551	0.38	175.0	0.7692307692307692	0.5480769230769231
CPC	Graph_100_112_C	100	0.1	0.8181818181818182	0.72	0.9833333333333333	0.3933333333333333	182.0	0.7659574468085107	0.5619047619047619
CPC	Graph_100_113_C	100	1.0E-4	1.0	0.36666666666666664	0.875	0.04666666666666667	239.0	0.5365853658536585	0.08860759493670886
CPC	Graph_100_113_C	100	0.001	1.0	0.4533333333333333	1.0	0.09333333333333334	218.0	0.6238532110091742	0.17073170731707318
CPC	Graph_100_113_C	100	0.01	0.9883720930232558	0.5666666666666667	1.0	0.18666666666666668	189.0	0.7203389830508474	0.3146067415730337
CPC	Graph_100_113_C	100	0.03	0.968421052631579	0.6133333333333333	0.9761904761904762	0.2733333333333333	174.0	0.7510204081632653	0.4270833333333333
CPC	Graph_100_113_C	100	0.05	0.9405940594059405	0.6333333333333333	0.9782608695652174	0.3	173.0	0.7569721115537849	0.4591836734693877
CPC	Graph_100_113_C	100	0.08	0.8672566371681416	0.6533333333333333	0.9607843137254902	0.32666666666666666	184.0	0.7452471482889734	0.4875621890547263
CPC	Graph_100_113_C	100	0.1	0.847457627118644	0.6666666666666666	0.9622641509433962	0.34	186.0	0.7462686567164178	0.5024630541871921
CPC	Graph_100_114_C	100	1.0E-4	1.0	0.41333333333333333	1.0	0.05333333333333334	230.0	0.5849056603773585	0.10126582278481014
CPC	Graph_100_114_C	100	0.001	0.9866666666666667	0.49333333333333335	1.0	0.14666666666666667	206.0	0.6577777777777779	0.2558139534883721
