GraphID, DataSetID, Algorithm, Elapsed Time
Graph_3013, DataSet_100_3013, FGES, 0.408309602 s
Graph_3014, DataSet_100_3014, FGES, 0.462596185 s
Graph_3015, DataSet_100_3015, FGES, 0.322947863 s
Graph_3016, DataSet_100_3016, FGES, 0.304453903 s
Graph_3017, DataSet_100_3017, FGES, 0.536949645 s
Graph_3018, DataSet_100_3018, FGES, 0.269600411 s
Graph_3019, DataSet_100_3019, FGES, 0.256915723 s
Graph_3020, DataSet_100_3020, FGES, 0.402832619 s
Graph_5001, DataSet_100_5001, CPC Stable, 0.021683842 s
Graph_5002, DataSet_100_5002, CPC Stable, 0.019213705 s
Graph_5003, DataSet_100_5003, CPC Stable, 0.020436798 s
Graph_5004, DataSet_100_5004, CPC Stable, 0.024143289 s
Graph_5005, DataSet_100_5005, CPC Stable, 0.019132877 s
Graph_5006, DataSet_100_5006, CPC Stable, 0.020253335 s
Graph_5007, DataSet_100_5007, CPC Stable, 0.020232808 s
Graph_5008, DataSet_100_5008, CPC Stable, 0.021535446 s
Graph_5009, DataSet_100_5009, CPC Stable, 0.020921332 s
Graph_5010, DataSet_100_5010, CPC Stable, 0.018715058 s
Graph_5011, DataSet_100_5011, CPC Stable, 0.021832666 s
Graph_5012, DataSet_100_5012, CPC Stable, 0.01787386 s
Graph_5013, DataSet_100_5013, CPC Stable, 0.019479706 s
Graph_5014, DataSet_100_5014, CPC Stable, 0.019139292 s
Graph_5015, DataSet_100_5015, CPC Stable, 0.020916628 s
Graph_5016, DataSet_100_5016, CPC Stable, 0.018582912 s
Graph_5017, DataSet_100_5017, CPC Stable, 0.019206862 s
Graph_5018, DataSet_100_5018, CPC Stable, 0.018488828 s
Graph_5019, DataSet_100_5019, CPC Stable, 0.017802869 s
Graph_5020, DataSet_100_5020, CPC Stable, 0.024112497 s
Graph_5001, DataSet_100_5001, PC Max, 0.02050052 s
Graph_5001, DataSet_100_5001, PC Stable, 0.01603708 s
Graph_5002, DataSet_100_5002, PC Max, 0.022864598 s
